Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1126,14/12/2017,31,19,28,40,22,30,,6,0,0,0.00,0.00,3,0,314085.45,104695.15,41,4,328582.20,8014.20,899,121,183620.75,204.25,2062,250,140112.90,67.95,30644,4061,1222695.60,39.90,39559,5141,1097762.25,27.75,176865,23700,2511483.00,14.20
1125,07/12/2017,39,8,34,26,11,23,,13,0,0,0.00,0.00,4,2,249148.40,62287.10,47,5,260647.90,5545.70,816,104,145656.00,178.50,1922,231,111187.70,57.85,26809,3205,969145.35,36.15,34034,4529,869568.70,25.55,155492,19650,1990297.60,12.80
1124,30/11/2017,22,26,31,35,21,38,,10,0,0,0.00,0.00,0,0,0.00,0.00,40,6,434096.00,10852.40,661,115,124036.65,187.65,1360,167,94656.00,69.60,19914,2832,825435.30,41.45,25880,3159,741462.00,28.65,118645,16078,1696623.50,14.30
1123,23/11/2017,39,17,36,35,27,33,,7,1,0,10658989.09,10658989.09,3,0,397032.75,132344.25,64,23,415356.80,6489.95,1222,264,232118.90,189.95,2645,405,177082.75,66.95,38623,5400,1544920.00,40.00,49367,7341,1387212.70,28.10,228518,31085,3176400.20,13.90
1122,16/11/2017,33,18,11,3,36,6,,5,0,0,0.00,0.00,5,0,267846.25,53569.25,44,8,280209.60,6368.40,822,98,156591.00,190.50,1942,245,119530.10,61.55,26996,3530,1042045.60,38.60,37498,5002,935575.10,24.95,158138,20150,2142769.90,13.55
1121,09/11/2017,15,27,38,18,29,20,,20,0,0,0.00,0.00,2,0,200960.60,100480.30,38,4,210235.00,5532.50,685,81,117477.50,171.50,1428,197,89678.40,62.80,20362,2638,781900.80,38.40,26666,3662,701315.80,26.30,118522,15367,1605973.10,13.55
1120,02/11/2017,3,4,30,33,32,23,,4,1,0,6000000.00,6000000.00,4,1,254026.40,63506.60,34,3,265750.80,7816.20,721,72,148489.95,205.95,1670,225,113309.50,67.85,24665,3202,989066.50,40.10,31429,4236,887869.25,28.25,146529,18712,2029426.65,13.85
1119,26/10/2017,39,15,34,29,4,23,,5,0,0,0.00,0.00,5,1,203413.25,40682.65,38,5,212801.90,5600.05,754,114,118905.80,157.70,1318,138,90744.30,68.85,19721,2385,791798.15,40.15,26376,3280,710833.20,26.95,115560,14473,1629396.00,14.10
1118,19/10/2017,11,34,17,31,8,9,,16,1,0,16422787.61,16422787.61,2,0,455619.90,227809.95,74,12,476648.80,6441.20,1360,168,266356.00,195.85,2980,376,203236.00,68.20,44109,5484,1773181.80,40.20,61387,7794,1589923.30,25.90,257880,31680,3649002.00,14.15
1117,12/10/2017,1,32,11,15,30,28,,20,0,0,0.00,0.00,5,2,395898.25,79179.65,62,6,414169.30,6680.15,1292,183,231461.80,179.15,2723,317,176586.55,64.85,38393,4847,1541478.95,40.15,51317,6729,1382993.15,26.95,229620,30071,3168756.00,13.80
1116,05/10/2017,6,38,33,7,17,19,,17,0,0,0.00,0.00,2,0,267477.80,133738.90,32,6,279822.40,8744.45,827,144,156385.70,189.10,1897,270,119321.30,62.90,27520,3768,1041632.00,37.85,35406,4645,934718.40,26.40,159057,20893,2139316.65,13.45
1115,28/09/2017,1,6,25,13,32,14,,7,0,0,0.00,0.00,6,0,215745.60,35957.60,32,5,225704.00,7053.25,609,62,126123.90,207.10,1435,204,96288.50,67.10,21139,2759,840275.25,39.75,25923,3711,753063.15,29.05,129699,16964,1724996.70,13.30
1114,21/09/2017,26,17,2,10,25,23,,5,2,0,50000000.00,25000000.00,33,0,1061953.20,32180.40,185,20,1110971.25,6005.25,3300,334,620895.00,188.15,7721,1003,473683.35,61.35,110649,13716,4132740.15,37.35,143036,18357,3711784.20,25.95,632950,77853,8481530.00,13.40
1113,14/09/2017,25,15,26,30,31,37,,18,0,0,0.00,0.00,6,1,689329.20,114888.20,96,9,721142.40,7511.90,2015,204,403000.00,200.00,4499,551,307506.65,68.35,65528,8279,2683371.60,40.95,86227,10774,2405733.30,27.90,389251,49294,5507901.65,14.15
1112,07/09/2017,35,28,3,14,11,24,,3,0,0,0.00,0.00,2,1,406015.40,203007.70,78,6,424752.90,5445.55,1420,145,237353.00,167.15,3001,389,181110.35,60.35,41212,5186,1580480.20,38.35,55110,7226,1419082.50,25.75,233209,29614,3253265.55,13.95
1111,31/08/2017,14,22,38,36,34,25,,10,0,0,0.00,0.00,4,1,307587.40,76896.85,44,5,321783.00,7313.25,800,92,179840.00,224.80,1902,229,137229.30,72.15,28089,3508,1196591.40,42.60,37202,4736,1073277.70,28.85,169732,21613,2461114.00,14.50
1110,24/08/2017,9,13,6,35,3,30,,20,0,0,0.00,0.00,7,1,250302.15,35757.45,41,4,261854.70,6386.70,884,102,146346.20,165.55,1835,238,111659.75,60.85,25637,3336,974206.00,38.00,35721,4563,873378.45,24.45,146550,19433,2000407.50,13.65
