Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
3815,10/02/2018,7,27,23,2,16,44,25,28,14,3,21000000.00,1500000.00,189,16,1459845.45,7724.05,3153,498,3150162.30,999.10,155989,24734,4765463.95,30.55,379333,58767,7984959.65,21.05,762565,118808,10294627.50,13.50
3813,03/02/2018,23,11,24,13,27,12,31,22,8,2,4111222.80,513902.85,141,17,557591.55,3954.55,1537,269,1203240.45,782.85,70409,11496,1820072.65,25.85,168160,27171,3052104.00,18.15,306972,51211,3929241.60,12.80
3811,27/01/2018,4,7,11,32,40,1,26,29,8,1,4003569.92,500446.24,115,14,542759.75,4719.65,1901,267,1171206.10,616.10,78310,11807,1769806.00,22.60,160957,25705,2969656.65,18.45,294322,46544,3826186.00,13.00
3809,20/01/2018,14,9,2,5,31,34,7,13,2,0,4154017.18,2077008.59,72,10,565538.40,7854.70,1108,218,1220351.20,1101.40,55921,9630,1845393.00,33.00,158899,25343,3098530.50,19.50,418714,66579,3998718.70,9.55
3807,13/01/2018,45,36,16,19,6,1,11,5,7,2,4147700.69,592528.67,70,16,563227.00,8046.10,1403,216,1215348.75,866.25,58816,9678,1838000.00,31.25,152323,25075,3084540.75,20.25,389501,62088,3972910.20,10.20
3805,06/01/2018,32,31,44,35,3,12,14,13,4,0,3963815.96,990953.99,45,15,538800.75,11973.35,846,157,1162657.80,1374.30,46096,7914,1758562.40,38.15,119244,20394,2951289.00,24.75,253590,42820,3803850.00,15.00
3803,30/12/2017,6,30,9,35,27,37,4,14,21,5,30000000.03,1428571.43,212,36,2161128.00,10194.00,3961,657,4663483.35,1177.35,210839,35621,7052564.55,33.45,524925,88225,11837058.75,22.55,1123440,186929,15222612.00,13.55
3801,23/12/2017,21,11,8,23,13,34,42,24,10,3,4200409.20,420040.92,71,16,569491.00,8021.00,1823,340,1228884.30,674.10,75952,12961,1857026.40,24.45,150651,26962,3118475.70,20.70,257201,47233,4012335.60,15.60
3799,16/12/2017,5,1,39,45,28,26,12,44,4,2,3905096.76,976274.19,51,11,529693.65,10386.15,920,133,1143008.00,1242.40,47352,8020,1728348.00,36.50,124243,20733,2901074.05,23.35,257387,42817,3732111.50,14.50
3797,09/12/2017,28,30,17,14,34,36,44,45,1,0,3929428.30,3929428.30,41,6,533270.60,13006.60,899,132,1150720.00,1280.00,48152,7792,1740694.80,36.15,116956,19840,2918052.20,24.95,230753,39975,3761273.90,16.30
3795,02/12/2017,25,44,14,8,16,23,2,9,3,0,4021130.13,1340376.71,70,9,546147.00,7802.10,1095,160,1178548.50,1076.30,53290,8985,1782550.50,33.45,140652,23638,2988855.00,21.25,317292,53216,3855097.80,12.15
3793,25/11/2017,44,36,4,18,6,31,1,10,5,0,4064577.55,812915.51,57,7,551569.05,9676.65,954,156,1190210.40,1247.60,52083,8821,1799467.65,34.55,132351,22020,3017602.80,22.80,320292,53184,3891547.80,12.15
3791,18/11/2017,40,26,42,28,19,6,36,33,3,1,4093024.65,1364341.55,47,5,556501.15,11840.45,983,157,1200881.95,1221.65,50078,8563,1815327.50,36.25,129458,22543,3048735.90,23.55,262898,44601,3930325.10,14.95
3789,11/11/2017,30,19,43,18,27,38,21,16,6,1,3948286.26,658047.71,44,15,535013.60,12159.40,916,155,1154526.40,1260.40,50598,8536,1745631.00,34.50,128319,21939,2925673.20,22.80,277220,47294,3770192.00,13.60
3787,04/11/2017,22,7,30,4,17,26,41,44,11,0,4059650.43,369059.13,65,18,550195.75,8464.55,1520,209,1187272.00,781.10,71877,11863,1796925.00,25.00,129996,22780,3009407.40,23.15,229991,40637,3875348.35,16.85
3785,28/10/2017,13,38,17,40,44,1,22,31,7,1,21000000.00,3000000.00,136,23,1385105.60,10184.60,2485,390,2988958.00,1202.80,128659,20448,4522363.85,35.15,331653,52428,7578271.05,22.85,716580,113205,9781317.00,13.65
3783,21/10/2017,30,45,34,22,13,42,39,44,3,0,4067154.18,1355718.06,49,8,552335.35,11272.15,960,204,1191888.00,1241.55,49392,9017,1802808.00,36.50,119713,21138,3022753.25,25.25,239890,42681,3898212.50,16.25
3781,14/10/2017,39,25,18,13,6,34,42,9,2,1,4016936.88,2008468.44,46,10,545859.00,11866.50,1073,197,1177885.75,1097.75,52139,9219,1780546.85,34.15,127753,21925,2989420.20,23.40,243158,42360,3854054.30,15.85
3779,07/10/2017,18,34,31,7,13,15,27,17,4,1,4037767.88,1009441.97,85,13,548284.00,6450.40,1392,201,1183130.40,849.95,63768,10147,1788692.40,28.05,164024,26780,3001639.20,18.30,358240,58621,3868992.00,10.80
3777,30/09/2017,22,19,1,34,20,32,33,3,2,1,4014904.56,2007452.28,43,10,543827.45,12647.15,892,155,1173515.20,1315.60,49404,8072,1773603.60,35.90,125025,20930,2975595.00,23.80,278532,45699,3829815.00,13.75
